Rate,Blockheight
399.0,20322457
3.5,20322427
9.9,20322391
3.5,20322389
3.6,20322242
19.0,20322033
149.5,20321605
9.9,20321469
19.0,20321448
19.0,20321443
19.0,20321437
19.0,20321436
9.9,20321361
9.5,20321305
399.0,20321159
399.0,20321152
399.0,20321146
4.4,20320746
4.3,20320478
4.3,20320455
4.4,20320278
4.4,20320134
10.0,20319989
4.5,20319980
10.0,20319972
19.0,20319952
4.6,20319946
19.0,20319938
19.0,20319929
19.0,20319872
4.6,20319844
19.0,20319257
10.0,20318883
4.9,20318814
3.8,20318038
999.0,20317554
19.0,20317018
19.0,20317010
3.9,20316983
9.9,20316761
18.9,20316732
9.9,20316721
4.3,20316629
18.9,20316429
19.0,20315402
9.9,20315232
6.4,20315211
19.0,20315211
4.6,20315209
19.0,20315093
19.0,20315049
6.6,20314973
977.9,20314973
4.7,20314970
4.8,20314827
19.0,20314771
19.0,20314768
5.0,20313504
19.0,20313367
6.1,20313231
6.0,20312825
6.0,20312678
19.0,20312329
19.0,20312088
9.8,20311349
6.7,20310792
19.0,20310450
9.8,20309837
6.6,20309464
13.4,20307406
3.5,20306827
3.5,20306791
3.5,20306572
3.7,20306154
4.8,20305576
4.1,20305300
4.1,20305199
4.2,20305071
19.9,20304951
4.4,20304938
19.9,20304908
4.6,20304569
19.9,20304561
5.3,20302823
13.7,20302657
9.4,20302634
7.8,20300004
6.4,20299622
6.5,20299397
9.9,20298937
8.8,20298402
7.0,20298032
9.9,20297608
9.9,20297608
7.2,20297402
20.0,20297397
6.6,20295369
6.9,20294169
9.2,20293948
8.7,20292838
8.3,20292238
7.9,20291633
8.8,20291631
8.8,20291630
8.5,20290320
9.8,20290151
25.0,20289098
8.8,20288410
8.8,20288376
8.8,20288367
25.0,20288291
25.0,20288232
9.9,20287985
9.9,20287893
